county,year,new_cases,est_pop,new_case_rate,year_mod,log_pop
Williamsburg,2003,170,35592,0.00477635423690717,3,10.479876172485877
York,2003,806,177138,0.004550124761485396,3,12.08468436879515
Abbeville,2004,131,26235,0.0049933295216314086,4,10.174849676120813
Aiken,2004,707,148746,0.00475306899009049,4,11.90999543229001
Allendale,2004,51,11049,0.004615802335052946,4,9.310095205113175
Anderson,2004,1022,173539,0.005889166124041282,4,12.064157636970615
Bamberg,2004,99,16322,0.006065433157701262,4,9.700269170029188
Barnwell,2004,123,22980,0.005352480417754569,4,10.042379551402746
Beaufort,2004,780,136331,0.005721369314389243,4,11.822841031295942
Berkeley,2004,605,151789,0.0039857960721791435,4,11.930246677549926
Calhoun,2004,109,15247,0.007148947333901751,4,9.632138041371906
Charleston,2004,1601,328105,0.004879535514545648,4,12.7010889580894
Cherokee,2004,301,53642,0.005611274747399426,4,10.890087622308279
Chester,2004,190,33633,0.00564921357000565,4,10.423263006821703
Chesterfield,2004,192,44348,0.004329394786687111,4,10.699822890892243
Clarendon,2004,181,33622,0.005383379929807864,4,10.422935893593005
Colleton,2004,244,38672,0.006309474555233761,4,10.562871102943264
Darlington,2004,327,68155,0.004797887168953121,4,11.129539802004944
Dillon,2004,169,31241,0.005409557952690375,4,10.349486613684583
Dorchester,2004,510,107337,0.004751390480449425,4,11.583728696765629
Edgefield,2004,124,25819,0.0048026647042875405,4,10.158865933983696
Fairfield,2004,128,24273,0.005273348988588143,4,10.097119900475949
Florence,2004,644,129855,0.004959377767509915,4,11.774173722317984
Georgetown,2004,372,59176,0.006286332296877113,4,10.988271333267704
Greenville,2004,1939,399319,0.004855766943220833,4,12.897515875189988
Greenwood,2004,338,67255,0.005025648650657944,4,11.116246644142683
Hampton,2004,92,21072,0.0043659832953682615,4,9.955700423983062
Horry,2004,1283,219094,0.005855933982674103,4,12.297256140452768
Jasper,2004,78,21456,0.003635346756152125,4,9.97375960552146
Kershaw,2004,290,55415,0.00523324009744654,4,10.922605594209754
Lancaster,2004,301,65079,0.00462514789717113,4,11.083357195511171
Laurens,2004,359,67784,0.00529623509972855,4,11.1240814578783
Lee,2004,105,20157,0.005209108498288436,4,9.91130690158826
Lexington,2004,1068,230832,0.004626741526304845,4,12.349445452185554
McCormick,2004,59,9982,0.005910639150470847,4,9.208538750029554
Marion,2004,181,34577,0.0052346935824391936,4,10.450944000123906
Marlboro,2004,151,28351,0.005326090790448309,4,10.252417581902414
Newberry,2004,182,36312,0.005012117206433135,4,10.499903544136302
Oconee,2004,452,69615,0.0064928535516770814,4,11.150735340343386
Orangeburg,2004,480,91691,0.005234973988722994,4,11.42617950729923
Pickens,2004,543,113554,0.004781865896401712,4,11.640033773685603
Richland,2004,1430,345750,0.004135936370209689,4,12.753471249527005
Saluda,2004,104,18904,0.005501481168006771,4,9.847128818866743
Spartanburg,2004,1308,261828,0.004995645996608461,4,12.47544307861065
Sumter,2004,536,106099,0.005051885503162141,4,11.57212789948697
Union,2004,173,29279,0.005908671744253561,4,10.284625814486557
Williamsburg,2004,206,35561,0.0057928629678580465,4,10.479004810717253
York,2004,865,181839,0.004756955328614873,4,12.110876959171224
Abbeville,2005,132,25995,0.005077899596076169,5,10.165659490817816
Aiken,2005,725,150152,0.0048284405136128725,5,11.919403393336086
Allendale,2005,51,11021,0.004627529262317394,5,9.307557822691543
Anderson,2005,1001,175467,0.005704776396701374,5,12.075206270019379
Bamberg,2005,87,16360,0.005317848410757946,5,9.702594610156739
Barnwell,2005,100,22965,0.004354452427607228,5,10.041726596759894
Beaufort,2005,859,141498,0.006070757183847121,5,11.860040861689921
Berkeley,2005,649,153489,0.004228316035676824,5,11.941384182203814
Calhoun,2005,89,15212,0.005850644228240862,5,9.62983986904815
Charleston,2005,1682,331589,0.005072544626028005,5,12.711651529196073
Cherokee,2005,285,53772,0.005300156215130551,5,10.892508164574144
Chester,2005,187,33373,0.005603332034878495,5,10.415502468813338
Chesterfield,2005,208,44766,0.0046463834159853465,5,10.709204201699569
Clarendon,2005,188,33847,0.005554406594380595,5,10.429605648120413
Colleton,2005,225,38728,0.005809750051642222,5,10.56431813161953
Darlington,2005,336,68185,0.004927770037398254,5,11.129979878291934
Dillon,2005,125,31239,0.004001408495790519,5,10.349422593198005
Dorchester,2005,513,113235,0.004530401377665916,5,11.637220584241835
Edgefield,2005,125,26196,0.004771720873415789,5,10.173362006337944
Fairfield,2005,122,24132,0.005055527929719874,5,10.091294039560653
Florence,2005,604,130982,0.00461132063947718,5,11.782815188162262
Georgetown,2005,344,59521,0.0057794727911157405,5,10.994084470441106
Greenville,2005,1988,405608,0.004901283998343228,5,12.913142454930476
Greenwood,2005,339,67630,0.005012568386810587,5,11.121806950568986
Hampton,2005,113,21109,0.005353166895636932,5,9.95745476880607
Horry,2005,1399,229899,0.006085280927711734,5,12.345395361024545
Jasper,2005,87,21845,0.003982604715037766,5,9.991727341385536
Kershaw,2005,315,56506,0.005574629242912257,5,10.94210210618654
Lancaster,2005,308,65875,0.004675521821631878,5,11.095514285843663
Laurens,2005,377,67629,0.005574531635836697,5,11.121792164122242
Lee,2005,96,20079,0.004781114597340505,5,9.907429771768753
Lexington,2005,1150,235176,0.004889954757288159,5,12.368089448983763
McCormick,2005,75,10049,0.007463429196935018,5,9.21522840604896
Marion,2005,185,34334,0.005388244888448768,5,10.443891395830875
Marlboro,2005,136,27918,0.004871409126728276,5,10.237026921072703
Newberry,2005,190,36399,0.005219923624275392,5,10.502296580719984
Oconee,2005,456,70581,0.006460662217877332,5,11.164516265448528
Orangeburg,2005,500,92197,0.005423169951299934,5,11.43168287105436
Pickens,2005,545,114344,0.004766319177219618,5,11.646966727588952
Richland,2005,1637,349003,0.004690504093088025,5,12.762835797136157
Saluda,2005,110,19131,0.005749830118655585,5,9.85906533498338
Spartanburg,2005,1408,264481,0.005323633833810368,5,12.485524694051938
Sumter,2005,556,106082,0.005241228483625874,5,11.571967658937284
Union,2005,203,29241,0.006942307034643138,5,10.28332711300532
Williamsburg,2005,208,35193,0.005910266246128492,5,10.46860247817383
York,2005,912,188117,0.004848046694344477,5,12.144819388664123
Abbeville,2006,136,25821,0.005267030711436428,6,10.158943393317584
Aiken,2006,750,152577,0.0049155508366267526,6,11.935424665634173
Allendale,2006,49,10882,0.00450284874104025,6,9.294865327045871
Anderson,2006,1042,178579,0.005834952598009845,6,12.092786359324316
Bamberg,2006,94,16392,0.005734504636408004,6,9.704548689918736
Barnwell,2006,106,22886,0.004631652538669929,6,10.03828064887766
Beaufort,2006,857,147213,0.005821496742814833,6,11.899635796594746
Berkeley,2006,664,159501,0.004162983304179911,6,11.979805470779858
Calhoun,2006,65,15229,0.004268172565500033,6,9.63095678385169
Charleston,2006,1774,334826,0.005298274327561181,6,12.721366272885673
Cherokee,2006,298,54166,0.005501606173614445,6,10.899808684315772
Chester,2006,208,33222,0.006260911444223707,6,10.410967586051022
Chesterfield,2006,223,45103,0.004944238742433984,6,10.716704042125496
Clarendon,2006,175,34094,0.005132867953305567,6,10.43687669471087
Colleton,2006,228,38608,0.005905511811023622,6,10.561214787864813
Darlington,2006,365,68424,0.005334385595697416,6,11.133478919260618
Dillon,2006,169,31373,0.0053867975647850065,6,10.353702929382365
Dorchester,2006,573,120136,0.0047695944596124395,6,11.696379713360116
Edgefield,2006,107,26135,0.004094126650086092,6,10.171030691147022
Fairfield,2006,128,24177,0.005294287959631054,6,10.093157046992621
Florence,2006,711,132489,0.00536648325521364,6,11.794254902094233
Georgetown,2006,366,59821,0.006118252787482657,6,10.999112048861333
Greenville,2006,2174,415957,0.005226501777827997,6,12.938337168516215
Greenwood,2006,382,68091,0.005610139372310584,6,11.12860032481358
Hampton,2006,112,21104,0.00530705079605762,6,9.957217874957095
Horry,2006,1461,242194,0.00603235422842845,6,12.397494336879328
Jasper,2006,90,22406,0.004016781219316255,6,10.017084059118668
Kershaw,2006,313,58060,0.0053909748535997245,6,10.969232237578622
Lancaster,2006,324,66992,0.004836398375925484,6,11.112328488258925
Laurens,2006,368,67388,0.0054609129221819906,6,11.118222239506094
Lee,2006,110,20001,0.005499725013749313,6,9.90353755128617
Lexington,2006,1154,241219,0.004784034425148931,6,12.393460513535407
McCormick,2006,77,10166,0.007574267165060004,6,9.226804098006848
Marion,2006,204,33994,0.006001059010413603,6,10.433939317437297
Marlboro,2006,161,29199,0.00551388746189938,6,10.281889741094604
Newberry,2006,177,36746,0.004816850813694007,6,10.51178465517968
Oconee,2006,443,71490,0.006196670863057771,6,11.177312858760898
Orangeburg,2006,453,91761,0.0049367378297969725,6,11.426942649738638
Pickens,2006,556,115570,0.004810937094401661,6,11.657631685969488
Richland,2006,1571,357096,0.0043993771982884155,6,12.785759932175642
Saluda,2006,103,19310,0.005334023821853962,6,9.86837837542256
Spartanburg,2006,1347,268898,0.005009334394454403,6,12.502087404520111
Sumter,2006,495,105953,0.00467188281596557,6,11.570750878538615
Union,2006,151,29248,0.005162746170678337,6,10.283566474253876
Williamsburg,2006,172,35458,0.004850809408314062,6,10.476104176458326
York,2006,1077,197892,0.005442362500757989,6,12.19547670631677
Abbeville,2007,173,25745,0.006719751408040396,7,10.155995712480241
Aiken,2007,716,154814,0.004624904724378932,7,11.949979675324865
Allendale,2007,41,10787,0.0038008714193010105,7,9.28609698437543
Anderson,2007,1050,181543,0.005783753711241965,7,12.109247819227761
Bamberg,2007,80,16226,0.004930358683594232,7,9.69437017295501
Barnwell,2007,94,22851,0.004113605531486587,7,10.036750159040897
Beaufort,2007,978,151411,0.006459240081632114,7,11.927753272564189
Berkeley,2007,754,164913,0.0045721077174025095,7,12.013173341098298
Calhoun,2007,72,15260,0.00471821756225426,7,9.632990304838447
Charleston,2007,1834,337147,0.005439763663921079,7,12.728274316006575
Cherokee,2007,275,54467,0.0050489287091266275,7,10.905350292672244
Chester,2007,188,33247,0.005654645531927693,7,10.41171981644952
Chesterfield,2007,242,45708,0.005294477990723724,7,10.730028616266605
Clarendon,2007,192,34250,0.005605839416058394,7,10.441441843690372
Colleton,2007,222,38765,0.005726815426286599,7,10.565273056653059
Darlington,2007,353,68489,0.005154112339207756,7,11.134428427413729
Dillon,2007,162,31433,0.005153819234562403,7,10.355613575443341
Dorchester,2007,639,126324,0.0050584212026218295,7,11.746605314039325
Edgefield,2007,106,26493,0.004001056882950213,7,10.184635826136912
Fairfield,2007,137,23917,0.00572814316176778,7,10.082344782138865
Florence,2007,628,133757,0.004695081378918486,7,11.803779999837348
Georgetown,2007,425,60277,0.007050782222074755,7,11.00670588375148
Greenville,2007,2273,427970,0.0053111199383134335,7,12.96680837864933
Greenwood,2007,380,68198,0.005572010909410833,7,11.130170517888356
Hampton,2007,137,21295,0.0064334350786569615,7,9.966227582357314
Horry,2007,1516,252464,0.006004816528297104,7,12.43902394327545
Jasper,2007,112,22971,0.004875712855339341,7,10.041987829781233
Kershaw,2007,343,59380,0.005776355675311553,7,10.99171274831775
Lancaster,2007,427,69504,0.0061435313075506445,7,11.149139583853552
Laurens,2007,388,67172,0.005776216280593104,7,11.1150117730149
Lee,2007,109,19836,0.005495059487799959,7,9.895253747609024
Lexington,2007,1240,246461,0.0050312219783251715,7,12.414959044937424
McCormick,2007,82,10162,0.008069277701239913,7,9.226410552153677
Marion,2007,164,33842,0.0048460492878671475,7,10.429457913628571
Marlboro,2007,128,29221,0.004380411348003149,7,10.282642907853932
Newberry,2007,207,37061,0.005585386255092955,7,10.520320482745682
Oconee,2007,498,72407,0.00687778805916555,7,11.19005825878298
Orangeburg,2007,449,92626,0.004847451039664889,7,11.436325158761433
Pickens,2007,600,116815,0.0051363266703762355,7,11.668346765788058
Richland,2007,1613,366111,0.004405767649701867,7,12.810691845092343
Saluda,2007,103,19417,0.005304629963434104,7,9.873904249994453
Spartanburg,2007,1409,274215,0.005138303885637183,7,12.521667749209294
Sumter,2007,524,106014,0.004942743411247571,7,11.571326439844706
Union,2007,171,29060,0.005884377150722643,7,10.277117937124274
Williamsburg,2007,196,35444,0.0055298499040740325,7,10.475709265167193
York,2007,1076,208640,0.005157208588957055,7,12.248365557720426
Abbeville,2008,161,25699,0.006264835207595626,8,10.154207359620441
Aiken,2008,787,156896,0.005016061594941872,8,11.96333844445096
Allendale,2008,53,10803,0.004906044617235953,8,9.287579152316985
Anderson,2008,1073,184520,0.005815087795360937,8,12.125513137671756
Bamberg,2008,100,16104,0.006209637357178341,8,9.686822967319628
Barnwell,2008,128,22761,0.005623654496726857,8,10.032803824006184
Beaufort,2008,1004,156399,0.0064194783854116715,8,11.960165713211014
Berkeley,2008,729,171099,0.004260691178791226,8,12.049997615327847
Calhoun,2008,110,15175,0.007248764415156508,8,9.627404615927698
Charleston,2008,1569,341921,0.004588779279424194,8,12.742334995209436
Cherokee,2008,298,54981,0.005420054200542005,8,10.914742949985987
Chester,2008,181,33454,0.005410414300233156,8,10.417926639871954
Chesterfield,2008,219,46319,0.004728081348906496,8,10.743307523067372
Clarendon,2008,233,34875,0.006681003584229391,8,10.459525519123666
Colleton,2008,196,39014,0.005023837596760138,8,10.571675835054878
Darlington,2008,364,68773,0.005292774780800605,8,11.138566505035511
Dillon,2008,130,31585,0.004115877790090232,8,10.360437603332802
Dorchester,2008,597,130593,0.004571454825296915,8,11.779840895613116
Edgefield,2008,135,26774,0.005042205124374393,8,10.195186546345843
Fairfield,2008,140,24131,0.005801665906924703,8,10.091252599948522
Florence,2008,633,135032,0.00468777771194976,8,11.813267066368764
Georgetown,2008,434,60621,0.007159235248511242,8,11.012396646681605
Greenville,2008,2241,438742,0.00510778544110206,8,12.991666819977745
Greenwood,2008,395,68862,0.005736109900961343,8,11.139859780908724
Hampton,2008,101,21212,0.004761455779747313,8,9.962322338257021
Horry,2008,1678,260609,0.0064387645860273434,8,12.470776478763415
Jasper,2008,113,23620,0.004784081287044877,8,10.069849089751353
Kershaw,2008,345,60395,0.005712393410050501,8,11.008661599039378
Lancaster,2008,425,72733,0.005843289840925027,8,11.194550480751076
Laurens,2008,406,67173,0.00604409509773272,8,11.115026660059447
Lee,2008,132,19697,0.0067015281514951515,8,9.888221618865694
Lexington,2008,1218,252747,0.004819048297309167,8,12.440144267376073
McCormick,2008,73,10224,0.0071400625978090765,8,9.232493176617316
Marion,2008,196,33724,0.005811884711184913,8,10.425965029042565
Marlboro,2008,178,29079,0.006121255889129613,8,10.277771543160718
Newberry,2008,202,37192,0.005431275543127554,8,10.52384896337042
Oconee,2008,510,73089,0.0069777941961170625,8,11.19943315561863
Orangeburg,2008,494,92886,0.005318347221325065,8,11.439128213768521
Pickens,2008,589,118330,0.00497760500295783,8,11.681232610378604
Richland,2008,1607,373789,0.004299216937898119,8,12.831446746069265
Saluda,2008,90,19503,0.0046146746654360865,8,9.878323578872578
Spartanburg,2008,1486,279673,0.005313348088660686,8,12.541376342531969
Sumter,2008,496,106463,0.004658895578745667,8,11.575552785927682
Union,2008,168,29172,0.005758946935417524,8,10.280964624104124
Williamsburg,2008,182,35090,0.005186662866913651,8,10.465671468577261
York,2008,966,217463,0.004442134983882315,8,12.289784000097159
Abbeville,2009,140,25614,0.005465760912001249,9,10.150894355986017
Aiken,2009,797,158499,0.005028422892257995,9,11.973503563131304
Allendale,2009,51,10619,0.004802712119785291,9,9.270400128403846
Anderson,2009,1114,186544,0.005971781456385625,9,12.136422415173072
Bamberg,2009,87,16022,0.005430033703657471,9,9.681718056775063
Barnwell,2009,102,22611,0.004511078678519305,9,10.026191792511579
Beaufort,2009,1052,159737,0.006585825450584398,9,11.981283991776682
Berkeley,2009,772,175092,0.004409110638978366,9,12.073066829052022
Calhoun,2009,98,15268,0.006418653392716793,9,9.63351441386512
Charleston,2009,1770,346795,0.005103879813722805,9,12.756489106252872
Cherokee,2009,291,55149,0.005276614263177936,9,10.917793892150982
Chester,2009,202,33210,0.006082505269497139,9,10.410606314370792
Chesterfield,2009,226,46638,0.004845833869376903,9,10.750170938458275
Clarendon,2009,188,34942,0.005380344571003377,9,10.46144482303439
Colleton,2009,260,38864,0.006689995883079457,9,10.567823651241953
Darlington,2009,343,68705,0.004992358634742741,9,11.137577255765875
Dillon,2009,127,31817,0.003991576829996543,9,10.36775601712027
Dorchester,2009,618,133560,0.004627133872416892,9,11.802306094057592
Edgefield,2009,137,27032,0.005068067475584493,9,10.204776628394125
Fairfield,2009,153,24084,0.006352765321375187,9,10.089302998584339
Florence,2009,627,136120,0.0046062297972377314,9,11.821292128614843
Georgetown,2009,450,60369,0.007454156934850668,9,11.008231007134478
Greenville,2009,2279,446655,0.005102372076882605,9,13.009541763514882
Greenwood,2009,416,69598,0.00597718325239231,9,11.150491110277452
Hampton,2009,106,21205,0.004998821032775289,9,9.96199228190869
Horry,2009,1678,265640,0.006316819756060834,9,12.48989728765465
Jasper,2009,97,24234,0.004002640917718907,9,10.095511884791469
Kershaw,2009,376,61143,0.006149518342246864,9,11.02097066195449
Lancaster,2009,360,75394,0.004774915775791177,9,11.230482975232924
Laurens,2009,413,66897,0.006173669970252776,9,11.110909402061512
Lee,2009,117,19352,0.006045886730053741,9,9.870551052289864
Lexington,2009,1139,258983,0.004397972067664673,9,12.464517701461832
McCormick,2009,85,10235,0.008304836345872008,9,9.23356849809539
Marion,2009,147,33277,0.004417465516723262,9,10.41262174664114
Marlboro,2009,139,29189,0.004762067902291959,9,10.281547204953691
Newberry,2009,179,37413,0.004784433218400021,9,10.529773516588858
Oconee,2009,522,73829,0.007070392393233011,9,11.209506887331928
Orangeburg,2009,524,92755,0.0056492911433345915,9,11.437716887372474
Pickens,2009,586,119183,0.0049168086052541055,9,11.688415405992886
Richland,2009,1618,380245,0.004255151284040553,9,12.84857106079117
Saluda,2009,86,19677,0.0043705849468923105,9,9.887205719961845
Spartanburg,2009,1434,283335,0.005061146699137064,9,12.55438522213403
Sumter,2009,521,107004,0.004868976860678106,9,11.58062149592288
Union,2009,188,29100,0.0064604810996563575,9,10.278493453159584
Williamsburg,2009,201,34622,0.005805557160187164,9,10.452244597136675
York,2009,1049,223616,0.004691077561534058,9,12.317685574053673
Abbeville,2010,162,25328,0.0063960833859759945,10,10.139665782120794
Aiken,2010,748,160527,0.004659652270334586,10,11.986217431703153
Allendale,2010,60,10354,0.005794861889124976,10,9.245128197461847
Anderson,2010,1080,187289,0.00576648922253843,10,12.140408157396282
Bamberg,2010,95,15972,0.005947908840470824,10,9.678592468183112
Barnwell,2010,108,22637,0.004770950214251005,10,10.027341014703126
Beaufort,2010,983,162845,0.006036414995854954,10,12.000554107132016
Berkeley,2010,815,178977,0.004553657732557815,10,12.095012584947025
Calhoun,2010,86,15094,0.005697628196634425,10,9.622052592844813
